"FacilityID","FacilityName","Address","City","State","ZIPCode","CountyName","PhoneNumber","Condition","MeasureID","MeasureName","STTag","Score","Sample","Footnote","StartDate","EndDate"
"01021F","TUSCALOOSA VA MEDICAL CENTER","3701 LOOP ROAD EAST","TUSCALOOSA","AL","35404","TUSCALOOSA","(205) 554-2000","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"01021F","TUSCALOOSA VA MEDICAL CENTER","3701 LOOP ROAD EAST","TUSCALOOSA","AL","35404","TUSCALOOSA","(205) 554-2000","Emergency Department","OP-22","Left before being seen","Percentage","Not Available","Not Available","5","01/01/2021","12/31/2021"
"01021F","TUSCALOOSA VA MEDICAL CENTER","3701 LOOP ROAD EAST","TUSCALOOSA","AL","35404","TUSCALOOSA","(205) 554-2000","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"01021F","TUSCALOOSA VA MEDICAL CENTER","3701 LOOP ROAD EAST","TUSCALOOSA","AL","35404","TUSCALOOSA","(205) 554-2000","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","Not Available","Not Available","5","01/01/2021","12/31/2021"
"01021F","TUSCALOOSA VA MEDICAL CENTER","3701 LOOP ROAD EAST","TUSCALOOSA","AL","35404","TUSCALOOSA","(205) 554-2000","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"01021F","TUSCALOOSA VA MEDICAL CENTER","3701 LOOP ROAD EAST","TUSCALOOSA","AL","35404","TUSCALOOSA","(205) 554-2000","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","(602) 222-6444","Emergency Department","EDV","Emergency department volume","Text","medium",NA,NA,"01/01/2021","12/31/2021"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","(602) 222-6444","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","87","3760",NA,"04/01/2022","06/30/2022"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","(602) 222-6444","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","72","3814",NA,"10/01/2021","03/31/2022"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","(602) 222-6444","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","187","233",NA,"07/01/2021","06/30/2022"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","(602) 222-6444","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","352","26",NA,"07/01/2021","06/30/2022"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","(602) 222-6444","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","(602) 222-6444","Emergency Department","OP-22","Left before being seen","Percentage","4","32810",NA,"01/01/2021","12/31/2021"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","(602) 222-6444","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","1","07/01/2021","06/30/2022"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","(602) 222-6444","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","97","32",NA,"01/01/2021","12/31/2021"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","(602) 222-6444","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","(602) 222-6444","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","32","40",NA,"07/01/2021","06/30/2022"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","(520) 629-1821","Emergency Department","EDV","Emergency department volume","Text","medium",NA,NA,"01/01/2021","12/31/2021"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","(520) 629-1821","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","91","2951",NA,"04/01/2022","06/30/2022"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","(520) 629-1821","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","88","3012",NA,"10/01/2021","03/31/2022"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","(520) 629-1821","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","(520) 629-1821","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","(520) 629-1821","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","(520) 629-1821","Emergency Department","OP-22","Left before being seen","Percentage","2","29575",NA,"01/01/2021","12/31/2021"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","(520) 629-1821","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","(520) 629-1821","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","97","38",NA,"01/01/2021","12/31/2021"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","(520) 629-1821","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","(520) 629-1821","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","36","36",NA,"07/01/2021","06/30/2022"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","(928) 445-4860","Emergency Department","EDV","Emergency department volume","Text","low",NA,NA,"01/01/2021","12/31/2021"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","(928) 445-4860","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","75","1158",NA,"04/01/2022","06/30/2022"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","(928) 445-4860","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","61","1188",NA,"10/01/2021","03/31/2022"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","(928) 445-4860","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","(928) 445-4860","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","(928) 445-4860","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","(928) 445-4860","Emergency Department","OP-22","Left before being seen","Percentage","1","11355",NA,"01/01/2021","12/31/2021"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","(928) 445-4860","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","(928) 445-4860","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","Not Available","Not Available","1","01/01/2021","12/31/2021"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","(928) 445-4860","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","(928) 445-4860","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","Not Available","Not Available","1","07/01/2021","06/30/2022"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","(479) 444-5058","Emergency Department","EDV","Emergency department volume","Text","low",NA,NA,"01/01/2021","12/31/2021"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","(479) 444-5058","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","87","1903",NA,"04/01/2022","06/30/2022"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","(479) 444-5058","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","60","1943",NA,"10/01/2021","03/31/2022"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","(479) 444-5058","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","(479) 444-5058","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","(479) 444-5058","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","(479) 444-5058","Emergency Department","OP-22","Left before being seen","Percentage","1","12218",NA,"01/01/2021","12/31/2021"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","(479) 444-5058","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","(479) 444-5058","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","86","37",NA,"01/01/2021","12/31/2021"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","(479) 444-5058","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","(479) 444-5058","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","Not Available","Not Available","1","07/01/2021","06/30/2022"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","(501) 257-1000","Emergency Department","EDV","Emergency department volume","Text","low",NA,NA,"01/01/2021","12/31/2021"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","(501) 257-1000","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","91","3559",NA,"04/01/2022","06/30/2022"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","(501) 257-1000","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","78","3659",NA,"10/01/2021","03/31/2022"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","(501) 257-1000","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","142","258",NA,"07/01/2021","06/30/2022"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","(501) 257-1000","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","286","35",NA,"07/01/2021","06/30/2022"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","(501) 257-1000","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","(501) 257-1000","Emergency Department","OP-22","Left before being seen","Percentage","2","19239",NA,"01/01/2021","12/31/2021"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","(501) 257-1000","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","1","07/01/2021","06/30/2022"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","(501) 257-1000","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","100","27",NA,"01/01/2021","12/31/2021"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","(501) 257-1000","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","(501) 257-1000","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","30","37",NA,"07/01/2021","06/30/2022"
"05025F","FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM)","2615 E. CLINTON AVENUE","FRESNO","CA","93703","FRESNO","(559) 228-5338","Emergency Department","EDV","Emergency department volume","Text","low",NA,NA,"01/01/2021","12/31/2021"
"05025F","FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM)","2615 E. CLINTON AVENUE","FRESNO","CA","93703","FRESNO","(559) 228-5338","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","88","1835",NA,"04/01/2022","06/30/2022"
"05025F","FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM)","2615 E. CLINTON AVENUE","FRESNO","CA","93703","FRESNO","(559) 228-5338","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","77","1918",NA,"10/01/2021","03/31/2022"
"05025F","FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM)","2615 E. CLINTON AVENUE","FRESNO","CA","93703","FRESNO","(559) 228-5338","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"05025F","FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM)","2615 E. CLINTON AVENUE","FRESNO","CA","93703","FRESNO","(559) 228-5338","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
