CountyState,FIPSCode,MothersRace,Year,TeenBirths,TeenFemalePopulation,TeenFertilityRate,AveragePrenatalVisits
"Yolo County, CA",06113,White,2021,35,7298,4.8,11.06
"Unidentified Counties, CA",06999,American Indian or Alaska Native,2021,15,1300,11.54,9.33
"Unidentified Counties, CA",06999,White,2021,323,22035,14.66,10.45
"Adams County, CO",08001,Black or African American,2021,16,763,20.97,8.38
"Adams County, CO",08001,White,2021,240,14882,16.13,9.46
"Arapahoe County, CO",08005,Black or African American,2021,38,2536,14.98,7.46
"Arapahoe County, CO",08005,White,2021,168,14172,11.85,9.13
"Boulder County, CO",08013,White,2021,49,11480,4.27,9.41
"Denver County, CO",08031,Black or African American,2021,43,2208,19.47,10.21
"Denver County, CO",08031,White,2021,264,13280,19.88,9.28
"Douglas County, CO",08035,White,2021,19,11375,1.67,9.89
"El Paso County, CO",08041,Black or African American,2021,32,1682,19.02,8.16
"El Paso County, CO",08041,White,2021,240,18369,13.07,8.29
"Jefferson County, CO",08059,White,2021,72,13706,5.25,10.49
"Larimer County, CO",08069,White,2021,66,11801,5.59,11.28
"Mesa County, CO",08077,White,2021,73,4579,15.94,9.74
"Pueblo County, CO",08101,White,2021,89,4584,19.42,11.25
"Weld County, CO",08123,White,2021,170,11080,15.34,10.11
"Unidentified Counties, CO",08999,American Indian or Alaska Native,2021,13,832,15.62,9
"Unidentified Counties, CO",08999,White,2021,314,21933,14.32,9.82
"Fairfield County, CT",09001,Black or African American,2021,55,4789,11.48,10.12
"Fairfield County, CT",09001,White,2021,139,24766,5.61,11.89
"Hartford County, CT",09003,Black or African American,2021,77,5224,14.74,12.03
"Hartford County, CT",09003,White,2021,154,19543,7.88,11.48
"Litchfield County, CT",09005,White,2021,16,4444,3.6,11.19
"New Haven County, CT",09009,American Indian or Alaska Native,2021,12,214,56.07,8.5
"New Haven County, CT",09009,Black or African American,2021,84,5219,16.1,10.56
"New Haven County, CT",09009,White,2021,153,20704,7.39,10.32
"New London County, CT",09011,White,2021,37,6223,5.95,11.76
"Tolland County, CT",09013,White,2021,15,5928,2.53,10.27
"Windham County, CT",09015,White,2021,30,3397,8.83,12
"Kent County, DE",10001,Black or African American,2021,32,2515,12.72,8.84
"Kent County, DE",10001,White,2021,44,3234,13.61,9.98
"New Castle County, DE",10003,Black or African American,2021,102,5303,19.23,9.12
"New Castle County, DE",10003,White,2021,76,11954,6.36,10.14
"Sussex County, DE",10005,Black or African American,2021,25,950,26.32,10.4
"Sussex County, DE",10005,White,2021,121,4204,28.78,8.08
"District of Columbia, DC",11001,Black or African American,2021,188,9497,19.8,8.26
"District of Columbia, DC",11001,White,2021,63,7723,8.16,9.3
"Alachua County, FL",12001,Black or African American,2021,62,2580,24.03,9.05
"Alachua County, FL",12001,White,2021,38,7903,4.81,9.13
"Bay County, FL",12005,Black or African American,2021,29,689,42.09,8.96
"Bay County, FL",12005,White,2021,92,3636,25.3,9.44
"Brevard County, FL",12009,Black or African American,2021,53,2312,22.92,6.98
"Brevard County, FL",12009,White,2021,133,11719,11.35,8.2
"Broward County, FL",12011,Black or African American,2021,296,19875,14.89,8.25
"Broward County, FL",12011,White,2021,171,30213,5.66,8.46
"Charlotte County, FL",12015,White,2021,36,2648,13.6,9.49
"Citrus County, FL",12017,White,2021,50,2865,17.45,8.69
"Clay County, FL",12019,Black or African American,2021,10,1153,8.67,7.3
"Clay County, FL",12019,White,2021,67,5283,12.68,7.97
"Collier County, FL",12021,Black or African American,2021,13,977,13.31,8.85
"Collier County, FL",12021,White,2021,132,7531,17.53,8.94
"Duval County, FL",12031,Black or African American,2021,290,10708,27.08,6.52
"Duval County, FL",12031,White,2021,215,14293,15.04,6.73
"Escambia County, FL",12033,Black or African American,2021,131,2854,45.9,9.02
"Escambia County, FL",12033,White,2021,107,6114,17.5,9.26
"Hernando County, FL",12053,White,2021,53,4443,11.93,8.62
"Hillsborough County, FL",12057,Black or African American,2021,222,9389,23.64,7.64
"Hillsborough County, FL",12057,White,2021,398,30820,12.91,7.9
"Indian River County, FL",12061,Black or African American,2021,11,520,21.15,7.91
"Indian River County, FL",12061,White,2021,24,2724,8.81,10.62
"Lake County, FL",12069,Black or African American,2021,38,1649,23.04,8.05
"Lake County, FL",12069,White,2021,112,7565,14.81,9.21
"Lee County, FL",12071,Black or African American,2021,54,2617,20.63,8.41
"Lee County, FL",12071,White,2021,267,15228,17.53,8.86
"Leon County, FL",12073,Black or African American,2021,75,5185,14.46,10.11
"Leon County, FL",12073,White,2021,20,7871,2.54,10.26
"Manatee County, FL",12081,Black or African American,2021,45,1268,35.49,8.49
"Manatee County, FL",12081,White,2021,121,7790,15.53,9.55
"Marion County, FL",12083,Black or African American,2021,41,1827,22.44,7.66
"Marion County, FL",12083,White,2021,160,7086,22.58,8.69
"Martin County, FL",12085,White,2021,47,3025,15.54,9.11
"Miami-Dade County, FL",12086,Black or African American,2021,256,15023,17.04,9.2
"Miami-Dade County, FL",12086,White,2021,499,57628,8.66,9.38
"Okaloosa County, FL",12091,Black or African American,2021,15,668,22.46,8.27
"Okaloosa County, FL",12091,White,2021,68,4171,16.3,10.63
"Orange County, FL",12095,Black or African American,2021,225,11369,19.79,6.05
"Orange County, FL",12095,White,2021,275,29719,9.25,7.16
"Osceola County, FL",12097,Black or African American,2021,32,2088,15.33,10.89
"Osceola County, FL",12097,White,2021,142,10461,13.57,11.58
"Palm Beach County, FL",12099,Black or African American,2021,186,10672,17.43,9.61
"Palm Beach County, FL",12099,White,2021,311,26599,11.69,8.07
"Pasco County, FL",12101,Black or African American,2021,33,1500,22,8.45
"Pasco County, FL",12101,White,2021,177,13063,13.55,9.49
"Pinellas County, FL",12103,Black or African American,2021,102,3332,30.61,9.14
"Pinellas County, FL",12103,White,2021,124,15201,8.16,9.96
"Polk County, FL",12105,Black or African American,2021,116,4472,25.94,8.18
"Polk County, FL",12105,White,2021,319,17026,18.74,9.05
"St. Johns County, FL",12109,White,2021,30,7699,3.9,9.52
"St. Lucie County, FL",12111,Black or African American,2021,45,2784,16.16,8.13
"St. Lucie County, FL",12111,White,2021,77,5483,14.04,8.74
"Santa Rosa County, FL",12113,White,2021,73,4608,15.84,10.13
"Sarasota County, FL",12115,Black or African American,2021,21,698,30.09,9.5
"Sarasota County, FL",12115,White,2021,67,7890,8.49,9.64
"Seminole County, FL",12117,Black or African American,2021,23,2131,10.79,6.38
"Seminole County, FL",12117,White,2021,55,9978,5.51,7.2
"Volusia County, FL",12127,Black or African American,2021,72,2815,25.58,7.96
"Volusia County, FL",12127,White,2021,152,10492,14.49,8.16
"Unidentified Counties, FL",12999,Black or African American,2021,148,5255,28.16,8.7
"Unidentified Counties, FL",12999,White,2021,618,25810,23.94,9.36
"Bartow County, GA",13015,White,2021,48,2849,16.85,11.77
"Bibb County, GA",13021,Black or African American,2021,146,3549,41.14,10.16
"Bibb County, GA",13021,White,2021,24,1866,12.86,9.62
"Carroll County, GA",13045,Black or African American,2021,23,1349,17.05,10.26
"Carroll County, GA",13045,White,2021,78,3422,22.79,10.95
"Chatham County, GA",13051,Black or African American,2021,86,5034,17.08,7.52
"Chatham County, GA",13051,White,2021,62,4313,14.38,7.13
"Cherokee County, GA",13057,Black or African American,2021,10,841,11.89,12.2
"Cherokee County, GA",13057,White,2021,61,7667,7.96,5.33
"Clarke County, GA",13059,Black or African American,2021,37,1488,24.87,10.27
"Clarke County, GA",13059,White,2021,22,5008,4.39,9.59
"Clayton County, GA",13063,Black or African American,2021,149,8075,18.45,8.5
"Clayton County, GA",13063,White,2021,59,2122,27.8,8.09
"Cobb County, GA",13067,Black or African American,2021,90,7912,11.38,11.53
"Cobb County, GA",13067,White,2021,156,15306,10.19,10.81
"Columbia County, GA",13073,White,2021,26,3554,7.32,11.77
"Coweta County, GA",13077,Black or African American,2021,27,1092,24.73,12.44
"Coweta County, GA",13077,White,2021,36,3635,9.9,12.22
"DeKalb County, GA",13089,Black or African American,2021,210,12400,16.94,8.68
"DeKalb County, GA",13089,White,2021,161,7383,21.81,9.84
"Douglas County, GA",13097,Black or African American,2021,31,3016,10.28,9.65
"Douglas County, GA",13097,White,2021,29,2011,14.42,11.93
"Forsyth County, GA",13117,White,2021,28,7355,3.81,9.96
"Fulton County, GA",13121,Black or African American,2021,332,17211,19.29,7.69
"Fulton County, GA",13121,White,2021,85,14158,6,10.06
"Gwinnett County, GA",13135,Black or African American,2021,81,12297,6.59,10.19
"Gwinnett County, GA",13135,White,2021,261,18316,14.25,10.38
"Hall County, GA",13139,Black or African American,2021,10,624,16.03,9.4
"Hall County, GA",13139,White,2021,141,6038,23.35,10.55
"Henry County, GA",13151,Black or African American,2021,60,5278,11.37,11.12
"Henry County, GA",13151,White,2021,36,3476,10.36,11.25
"Houston County, GA",13153,Black or African American,2021,50,2131,23.46,8.66
"Houston County, GA",13153,White,2021,46,2926,15.72,9
"Lowndes County, GA",13185,Black or African American,2021,58,2246,25.82,9.53
"Lowndes County, GA",13185,White,2021,33,2541,12.99,10.67
"Muscogee County, GA",13215,Black or African American,2021,119,3376,35.25,9.86
"Muscogee County, GA",13215,White,2021,45,2458,18.31,10.2
"Paulding County, GA",13223,Black or African American,2021,19,1676,11.34,11.21
"Paulding County, GA",13223,White,2021,31,4114,7.54,14.42
"Richmond County, GA",13245,Black or African American,2021,127,4307,29.49,9.74
"Richmond County, GA",13245,White,2021,38,1645,23.1,10.66
"Whitfield County, GA",13313,White,2021,82,3378,24.27,11.15
"Unidentified Counties, GA",13999,Black or African American,2021,1009,34713,29.07,10.44
"Unidentified Counties, GA",13999,White,2021,1632,77731,21,10.71
"Hawaii County, HI",15001,Native Hawaiian or Other Pacific Islander,2021,18,954,18.87,5.5
"Honolulu County, HI",15003,Asian,2021,22,8487,2.59,9.29
"Honolulu County, HI",15003,Native Hawaiian or Other Pacific Islander,2021,62,3317,18.69,5.66
"Honolulu County, HI",15003,White,2021,46,4009,11.47,9.76
"Ada County, ID",16001,Black or African American,2021,10,273,36.63,9.6
"Ada County, ID",16001,White,2021,86,14935,5.76,11.09
"Bonneville County, ID",16019,White,2021,69,4434,15.56,11.43
"Canyon County, ID",16027,White,2021,129,8159,15.81,9.91
"Kootenai County, ID",16055,White,2021,38,4690,8.1,12.49
"Unidentified Counties, ID",16999,American Indian or Alaska Native,2021,29,778,37.28,9
"Unidentified Counties, ID",16999,White,2021,386,27544,14.01,10.66
"Champaign County, IL",17019,Black or African American,2021,48,1537,31.23,10.77
"Champaign County, IL",17019,White,2021,43,6794,6.33,11.33
"Cook County, IL",17031,Black or African American,2021,781,39142,19.95,8.17
"Cook County, IL",17031,White,2021,865,99216,8.72,9.19
"DeKalb County, IL",17037,Black or African American,2021,10,674,14.84,7.9
"DeKalb County, IL",17037,White,2021,21,3455,6.08,10
"DuPage County, IL",17043,Black or African American,2021,21,1819,11.54,11.81
"DuPage County, IL",17043,White,2021,102,22897,4.45,9.87
"Kane County, IL",17089,Black or African American,2021,13,1192,10.91,8.55
"Kane County, IL",17089,White,2021,152,15559,9.77,9.32
"Kankakee County, IL",17091,Black or African American,2021,28,614,45.6,7.29
"Kankakee County, IL",17091,White,2021,31,3245,9.55,9.52
"Kendall County, IL",17093,White,2021,21,4173,5.03,10.9
"Lake County, IL",17097,Black or African American,2021,32,2218,14.43,8.22
"Lake County, IL",17097,White,2021,134,19896,6.74,9.66
"LaSalle County, IL",17099,White,2021,46,2974,15.47,11.41
"McHenry County, IL",17111,White,2021,59,9371,6.3,10.6
"McLean County, IL",17113,Black or African American,2021,10,762,13.12,8.5
"McLean County, IL",17113,White,2021,28,6501,4.31,10.12
"Macon County, IL",17115,Black or African American,2021,31,746,41.55,9.77
"Macon County, IL",17115,White,2021,26,2284,11.38,10.15
"Madison County, IL",17119,Black or African American,2021,30,959,31.28,9.41
"Madison County, IL",17119,White,2021,67,6551,10.23,9.54
"Peoria County, IL",17143,Black or African American,2021,82,1354,60.56,9.96
"Peoria County, IL",17143,White,2021,32,3826,8.36,11.09
"Rock Island County, IL",17161,Black or African American,2021,25,562,44.48,9.24
"Rock Island County, IL",17161,White,2021,58,3470,16.71,12.34
"St. Clair County, IL",17163,Black or African American,2021,92,2763,33.3,9.16
"St. Clair County, IL",17163,White,2021,41,4411,9.29,10.37
"Sangamon County, IL",17167,Black or African American,2021,31,1092,28.39,9.03
"Sangamon County, IL",17167,White,2021,34,4374,7.77,11.03
"Tazewell County, IL",17179,White,2021,55,3753,14.65,11.25
"Will County, IL",17197,Black or African American,2021,40,3305,12.1,8.8
"Will County, IL",17197,White,2021,105,19046,5.51,9.04
"Winnebago County, IL",17201,Black or African American,2021,61,1495,40.8,8.95
"Winnebago County, IL",17201,White,2021,92,6316,14.57,10.74
"Unidentified Counties, IL",17999,Black or African American,2021,70,2942,23.79,10.14
"Unidentified Counties, IL",17999,White,2021,907,53208,17.05,10.96
"Allen County, IN",18003,Asian,2021,17,825,20.61,11
"Allen County, IN",18003,Black or African American,2021,68,1777,38.27,11.15
"Allen County, IN",18003,White,2021,131,9463,13.84,11.75
"Clark County, IN",18019,Black or African American,2021,14,352,39.77,11.43
"Clark County, IN",18019,White,2021,41,2805,14.62,10.54
"Delaware County, IN",18035,Black or African American,2021,10,403,24.81,9.6
"Delaware County, IN",18035,White,2021,42,4472,9.39,10.38
"Elkhart County, IN",18039,Black or African American,2021,20,481,41.58,9.2
"Elkhart County, IN",18039,White,2021,145,6444,22.5,10.71
"Hamilton County, IN",18057,White,2021,38,10217,3.72,12.29
"Hendricks County, IN",18063,White,2021,35,4726,7.41,12.09
"Johnson County, IN",18081,White,2021,50,4605,10.86,11.56
"Lake County, IN",18089,Black or African American,2021,127,4669,27.2,8.75
"Lake County, IN",18089,White,2021,127,10682,11.89,9.98
"La Porte County, IN",18091,Black or African American,2021,12,378,31.75,6.92
"La Porte County, IN",18091,White,2021,43,2371,18.14,9.28
"Madison County, IN",18095,Black or African American,2021,18,327,55.05,9.56
"Madison County, IN",18095,White,2021,64,3433,18.64,10.55
"Marion County, IN",18097,Black or African American,2021,344,10122,33.99,9.23
"Marion County, IN",18097,White,2021,406,17589,23.08,9.21
"Monroe County, IN",18105,White,2021,47,6095,7.71,12.57
"Porter County, IN",18127,White,2021,40,4962,8.06,9.38
"St. Joseph County, IN",18141,Black or African American,2021,66,1515,43.56,9.32
"St. Joseph County, IN",18141,White,2021,94,7533,12.48,10.96
"Tippecanoe County, IN",18157,Black or African American,2021,18,573,31.41,9.44
"Tippecanoe County, IN",18157,White,2021,69,6893,10.01,10.33
"Vanderburgh County, IN",18163,Black or African American,2021,33,710,46.48,9.7
"Vanderburgh County, IN",18163,White,2021,76,4792,15.86,11.36
"Vigo County, IN",18167,White,2021,63,3151,19.99,10.79
"Unidentified Counties, IN",18999,Black or African American,2021,38,1887,20.14,9.66
"Unidentified Counties, IN",18999,White,2021,1326,72963,18.17,10.99
"Black Hawk County, IA",19013,Black or African American,2021,34,511,66.54,9.62
"Black Hawk County, IA",19013,White,2021,41,3730,10.99,10.8
"Johnson County, IA",19103,Black or African American,2021,10,522,19.16,9.4
"Johnson County, IA",19103,White,2021,16,5426,2.95,10
"Linn County, IA",19113,Black or African American,2021,27,572,47.2,10.3
"Linn County, IA",19113,White,2021,58,6177,9.39,11.1
"Polk County, IA",19153,Black or African American,2021,54,1568,34.44,10.31
"Polk County, IA",19153,White,2021,154,12697,12.13,10.68
"Scott County, IA",19163,Black or African American,2021,36,607,59.31,10.77
"Scott County, IA",19163,White,2021,45,4487,10.03,11
"Woodbury County, IA",19193,White,2021,55,3205,17.16,10.71
"Unidentified Counties, IA",19999,American Indian or Alaska Native,2021,10,427,23.42,10.6
"Unidentified Counties, IA",19999,Black or African American,2021,37,1669,22.17,9.24
"Unidentified Counties, IA",19999,Native Hawaiian or Other Pacific Islander,2021,14,201,69.65,6.71
"Unidentified Counties, IA",19999,White,2021,670,57405,11.67,10.57
"Douglas County, KS",20045,White,2021,15,4361,3.44,10.67
"Johnson County, KS",20091,White,2021,95,15829,6,10.31
"Sedgwick County, KS",20173,Black or African American,2021,91,1840,49.46,9.33
"Sedgwick County, KS",20173,White,2021,256,13179,19.42,10.61
"Shawnee County, KS",20177,Black or African American,2021,24,578,41.52,9.83
"Shawnee County, KS",20177,White,2021,83,4441,18.69,10.05
"Wyandotte County, KS",20209,Black or African American,2021,47,1286,36.55,9.17
"Wyandotte County, KS",20209,White,2021,117,3706,31.57,8.98
"Unidentified Counties, KS",20999,Black or African American,2021,31,1533,20.22,9.29
"Unidentified Counties, KS",20999,White,2021,741,40744,18.19,10.01
"Boone County, KY",21015,White,2021,53,4135,12.82,9.04
"Fayette County, KY",21067,Black or African American,2021,60,2016,29.76,11.34
"Fayette County, KY",21067,White,2021,91,8461,10.76,10.4
"Hardin County, KY",21093,Black or African American,2021,11,471,23.35,8.18
"Hardin County, KY",21093,White,2021,57,2576,22.13,8.77
"Jefferson County, KY",21111,Black or African American,2021,213,6708,31.75,9.87
"Jefferson County, KY",21111,White,2021,185,14711,12.58,10.53
"Kenton County, KY",21117,Black or African American,2021,20,312,64.1,8.95
"Kenton County, KY",21117,White,2021,89,4402,20.22,8.61
"Warren County, KY",21227,Black or African American,2021,15,731,20.52,9.4
"Warren County, KY",21227,White,2021,80,4593,17.42,10
"Unidentified Counties, KY",21999,Black or African American,2021,109,4393,24.81,10.34
"Unidentified Counties, KY",21999,White,2021,2107,80293,26.24,11.03
"Ascension Parish, LA",22005,Black or African American,2021,21,1193,17.6,8.76
"Ascension Parish, LA",22005,White,2021,41,2898,14.15,9.53
"Bossier Parish, LA",22015,Black or African American,2021,46,1167,39.42,8.98
"Bossier Parish, LA",22015,White,2021,49,2502,19.58,9.46
"Caddo Parish, LA",22017,Black or African American,2021,155,4215,36.77,8.48
"Caddo Parish, LA",22017,White,2021,35,2756,12.7,9.77
"Calcasieu Parish, LA",22019,Black or African American,2021,75,1854,40.45,6.85
"Calcasieu Parish, LA",22019,White,2021,80,4155,19.25,9.46
"East Baton Rouge Parish, LA",22033,Black or African American,2021,290,8530,34,8.13
"East Baton Rouge Parish, LA",22033,White,2021,90,6710,13.41,8.24
"Jefferson Parish, LA",22051,Black or African American,2021,115,4268,26.94,11.49
"Jefferson Parish, LA",22051,White,2021,138,6456,21.38,11.21
"Lafayette Parish, LA",22055,Black or African American,2021,100,2677,37.36,13.44
"Lafayette Parish, LA",22055,White,2021,85,4648,18.29,13.45
"Livingston Parish, LA",22063,Black or African American,2021,13,464,28.02,9.54
"Livingston Parish, LA",22063,White,2021,73,4159,17.55,9.99
"Orleans Parish, LA",22071,Black or African American,2021,175,7488,23.37,11.13
"Orleans Parish, LA",22071,White,2021,44,2740,16.06,7.44
"Ouachita Parish, LA",22073,Black or African American,2021,103,2456,41.94,8.56
"Ouachita Parish, LA",22073,White,2021,63,2804,22.47,10.71
"Rapides Parish, LA",22079,Black or African American,2021,65,1537,42.29,10.82
"Rapides Parish, LA",22079,White,2021,53,2407,22.02,10.49
